id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
161	2	1	2	1	1	1	2	4	5	4	4	4	5	4	1	5	4	4	4	3	3	3	4	3	24	M	195	47	O	O	M	8	5	3	T	H	N	25
162	3	2	3	1	1	2	2	5	4	4	5	1	3	5	3	3	5	4	5	2	4	2	3	5	27	M	178	42	O	O	W	5	5	8	E	NA	NA	NA
163	1	1	3	1	1	2	3	4	5	3	5	2	5	5	2	4	4	3	4	5	3	5	2	4	23	N	157	36	NA	NA	NA	14	4	2-4	T	S	N	10
164	2	1	1	2	1	1	3	5	3	4	3	2	4	3	4	3	3	3	3	3	3	3	2	4	23	N	172	39	O	O	W	12	4	2	T	S	S	5-10
165	3	2	3	1	1	1	3	3	3	4	5	3	4	3	1	4	2	4	1	5	1	5	3	4	19	N	173	39	O	O	M	14	4	eoav	E	NA	NA	NA
166	3	3	3	2	1	2	2	4	4	3	4	2	2	4	1	4	3	2	2	5	2	5	1	4	20	N	169	39	O	O	W	14	3	monta	T	S	S	8-32
167	2	2	2	1	2	1	5	5	2	2	3	3	4	3	3	5	5	4	4	3	5	2	4	5	23	M	185	47	O	O	W	14	5	10	T	S	S	10-15
168	3	1	1	1	2	1	2	5	2	5	5	3	4	3	4	4	4	4	3	3	3	1	4	4	21	N	167	37	O	E	NA	14	3	tm	T	H	N	10
169	3	5	3	4	5	5	3	5	2	5	4	3	4	4	4	4	5	1	5	5	5	5	1	5	24	N	165	38	O	O	M	9	2	2	T	H	N	15
170	4	1	2	1	1	1	3	5	5	2	5	2	2	3	1	4	4	5	5	5	3	5	2	5	34	N	173	40	O	O	W	2	2	10	T	S	N	22
171	5	1	4	1	1	1	3	5	4	5	3	3	4	4	4	5	5	5	5	4	5	3	5	5	21	N	169	37	O	O	W	14	5	5	T	H	S	0-8
172	1	2	3	2	1	2	4	5	4	3	5	2	4	3	4	5	5	4	5	3	3	2	4	5	33	N	162	37	O	O	M	12	3	L+4-6	E	T	N	NA
173	4	2	3	1	1	1	2	5	3	3	2	4	4	3	3	4	4	4	3	4	2	3	2	3	23	N	161	36	O	O	W	14	NA	5	T	S	S	N/A
174	2	1	3	2	1	1	1	4	4	3	4	3	5	2	1	4	4	3	4	3	3	3	3	4	24	M	168	42	O	O	W	14	5	5	T	S	N	13
175	2	1	1	2	1	2	5	4	4	3	5	3	3	5	2	4	4	2	4	3	3	2	3	4	20	M	174	42	O	O	W	14	4	5	T	S	S	10-30
176	3	1	2	2	2	1	3	5	4	3	5	3	4	5	3	5	4	4	4	3	3	3	4	4	21	M	187	43	O	O	W	14	3	4+L	T	S	N	15
177	4	1	3	1	2	1	2	4	4	3	3	4	3	2	4	5	4	4	4	2	2	1	4	4	21	N	164	37	O	O	W	13	5	7	T	S	S	0-30
178	5	1	2	2	3	2	1	5	2	3	3	5	5	3	2	5	4	2	4	4	4	2	2	5	30	N	172	40	O	O	W	10	4	6-8	E	H	NA	NA
179	4	1	3	2	1	1	3	4	3	3	4	3	4	2	3	4	4	3	4	4	3	4	2	4	21	N	149	34	V	O	W	14	3	tarp	T	S	N	15
180	2	2	3	1	1	2	3	4	3	4	4	2	3	4	4	4	4	4	4	3	3	2	4	4	24	N	170	38	O	O	W	11	4	5	T	S	S	16
181	3	2	3	1	1	1	3	5	5	4	5	3	5	4	3	5	5	4	4	5	3	3	4	5	21	N	180	40	O	O	W	11	3	6	T	S	N	15
182	3	3	1	1	1	1	2	5	4	4	4	3	5	4	1	4	4	3	3	4	3	2	4	4	NA	NA	174	40	O	E	NA	14	5	6	T	S	S	0-16
183	4	2	1	2	1	1	3	5	4	4	4	5	5	2	1	5	4	4	3	5	2	3	2	5	21	M	183	44	O	O	W	14	5	8	E	H	NA	NA
184	4	1	3	1	1	1	4	5	3	2	5	3	4	3	3	4	4	5	4	4	4	3	3	4	20	M	185	43	V	O	W	14	4	5	E	NA	NA	NA
185	3	1	2	1	1	1	3	5	4	2	4	3	5	2	4	4	4	5	4	2	4	1	5	4	22	N	170	39	O	O	M	12	4	2-3	T	H	N	5-20
186	3	2	2	2	2	2	4	5	4	3	5	3	4	5	1	3	3	3	3	3	3	2	2	3	22	N	169	36	O	O	M	14	5	3	T	S	S	NA
187	3	2	3	1	1	1	4	5	4	4	5	2	4	4	3	3	3	4	2	4	2	4	2	3	20	N	165	39	O	O	M	14	4	etv	T	S	N	väh10
188	3	1	2	2	1	2	4	4	4	4	4	3	4	4	1	4	4	5	4	3	3	1	5	4	18	N	167	41	O	O	W	14	5	etv	E	NA	NA	NA
189	3	2	2	2	2	2	2	4	3	4	4	3	4	4	2	4	4	3	4	3	3	2	3	4	20	N	173	39	V	E	NA	14	4	12	T	NA	NA	10-15
190	3	2	2	1	1	2	2	4	3	3	3	4	4	3	2	4	4	2	5	4	3	3	2	4	27	M	186	43	O	O	M	9	4	eos	T	S	S	15-20
191	3	2	3	2	1	1	3	4	3	4	4	2	4	3	3	3	4	3	4	4	2	3	3	4	20	N	173	39	O	O	W	14	4	2:)	E	S	NA	NA
192	4	1	2	1	1	1	2	5	5	4	4	3	4	2	2	5	5	2	5	4	3	4	1	5	24	N	162	37	O	O	W	11	5	3	T	S	N	15
193	4	2	3	2	2	2	3	4	2	3	3	4	2	4	1	4	4	5	4	3	3	2	4	4	21	N	162	38	O	O	M	13	4	L+2	E	NA	NA	NA
194	4	2	2	1	1	1	1	5	5	2	3	4	4	3	1	4	5	4	5	4	3	2	4	4	23	N	160	37	O	O	W	13	4	L+2-3	T	S	N	10
195	4	1	2	1	1	2	3	4	3	4	4	3	4	3	2	4	4	2	4	4	3	3	2	3	38	M	NA	NA	NA	O	W	9	1	8	T	S	N	37.5
196	1	1	1	1	1	1	3	4	4	5	5	3	4	5	1	5	5	1	5	5	4	5	1	5	46	N	163	36	O	O	W	13	5	20	E	NA	NA	NA
197	2	1	1	1	1	1	4	5	4	3	5	3	3	4	4	4	4	2	4	4	3	3	2	4	41	N	157	37	O	O	M	11	4	4	T	S	N	37
198	5	1	2	1	1	1	1	5	2	4	3	4	4	3	1	5	5	3	5	5	2	5	2	5	32	N	167	38	O	O	W	13	2	2-3	E	NA	NA	NA
199	2	2	1	1	1	2	4	5	3	3	5	1	4	5	1	5	3	1	5	5	1	5	1	5	23	N	171	38	O	E	NA	12	5	1	T	H	S	0-12
200	4	1	2	1	1	1	2	5	3	4	4	3	5	3	2	4	4	3	5	4	3	4	4	4	21	N	169	38	O	O	M	14	4	4-5	T	S	S	5-10
201	3	1	1	1	1	1	4	5	5	5	5	4	5	5	4	5	5	4	5	2	4	4	4	5	25	M	174	43	O	E	NA	10	4	8	T	S	N	5
202	4	1	2	1	1	2	2	5	3	2	2	5	4	2	4	5	5	4	5	4	4	3	2	5	42	N	170	41	O	O	M	8	2	10	T	T	N	30
203	3	1	2	2	1	1	2	5	4	1	4	3	5	3	3	4	4	3	4	3	3	2	5	5	21	N	174	39	O	O	W	13	5	3?	T	S	S	10
204	3	1	2	1	1	1	2	5	4	2	4	4	5	3	2	4	4	3	4	3	3	3	4	4	20	M	176	40	O	O	W	14	5	3	E	H	NA	NA
205	3	2	2	1	1	2	3	5	3	5	4	4	3	4	3	4	4	4	4	4	3	4	4	4	33	N	173	40	O	O	M	2	8	NA	E	NA	NA	NA
206	4	1	3	1	1	1	2	5	3	2	3	4	5	2	2	5	4	3	4	4	2	4	3	2	26	N	168	38	NA	O	M	8	2	3	E	NA	NA	NA
207	1	1	3	1	2	2	5	4	4	4	5	3	5	5	3	5	5	1	5	4	4	5	3	5	42	M	179	44	O	E	NA	92	4	4	E	H	NA	NA
208	2	1	2	1	1	2	4	3	3	4	3	1	2	4	4	3	3	5	4	3	3	3	4	3	20	N	176	38	V	O	W	14	5	NA	T	H	S	7
209	3	2	2	1	1	2	4	5	4	3	5	2	3	3	3	3	4	3	3	4	3	4	3	3	20	N	168	39	O	O	W	14	4	NA	E	S	NA	NA
210	3	4	2	4	4	5	3	4	2	4	3	2	4	4	2	4	2	2	3	2	4	5	1	2	19	N	163	36	O	O	M	14	5	6.5	E	NA	NA	NA
211	2	2	1	1	1	1	2	4	2	3	4	4	3	3	3	4	3	4	4	4	3	4	4	3	18	N	161	38	O	O	M	14	3	7	E	NA	NA	NA
212	3	2	2	1	1	2	3	4	4	3	4	2	3	5	3	4	5	4	5	3	3	3	3	4	20	N	181	41	O	O	W	14	5	etv	E	S	NA	NA
213	3	2	1	1	1	1	1	5	5	4	5	1	4	5	1	5	4	4	4	2	3	1	4	5	21	M	180	44	O	O	W	14	3	2-4	T	S	N	15
214	3	3	2	1	2	1	3	1	2	2	2	4	4	NA	1	4	4	2	4	3	3	4	1	4	44	N	174	40	NA	O	W	8	2	2-4	T	S	N	38
215	4	2	2	2	1	1	4	3	2	2	4	2	4	4	1	5	5	2	5	5	2	4	4	5	37	N	166	37	O	O	M	13	1	3	T	H	N	37.5
216	4	2	2	2	1	1	5	5	4	5	5	1	2	4	2	4	4	3	2	5	2	5	1	5	25	N	170	38	O	O	M	13	4	5-10	T	S	N	10
217	2	1	2	1	1	1	2	5	4	2	4	4	5	2	1	4	5	4	5	4	3	2	2	5	22	M	187	44	O	O	M	14	5	8	E	H	NA	NA
218	2	1	1	1	1	1	1	5	4	3	5	4	5	3	2	5	5	4	5	3	4	4	2	5	26	M	183	44	V	E	NA	8	4	3-4+L	T	S	N	20
219	3	2	2	1	1	1	2	5	4	2	3	3	5	4	2	5	5	5	5	1	4	1	4	5	21	M	179	43	O	O	M	12	0	an-kl?	E	S	NA	NA
220	4	1	2	2	1	1	1	5	4	3	2	3	5	2	4	5	5	5	5	2	4	1	4	4	22	M	186	42	O	O	W	13	4	2-3	E	S	NA	NA
221	4	3	1	1	1	1	2	5	3	5	4	4	5	3	1	4	5	4	5	3	3	4	3	2	36	N	168	39	O	O	W	0	1	2-4	T	S	N	36.25
